iter	Passed	Remaining
966	106547	113819
967	106654	113706
968	106764	113595
969	106881	113492
970	106993	113384
971	107103	113273
972	107210	113160
973	107318	113048
974	107427	112937
975	107539	112828
976	107646	112714
977	107758	112606
978	107870	112498
979	107973	112381
980	108078	112265
981	108184	112150
982	108295	112040
983	108405	111931
984	108514	111819
985	108617	111702
986	108727	111592
987	108838	111482
988	108952	111376
989	109051	111254
990	109166	111149
991	109271	111033
992	109376	110918
993	109485	110806
994	109592	110694
995	109693	110575
996	109799	110460
997	109909	110350
998	110022	110242
999	110135	110135
1000	110246	110026
1001	110384	109943
1002	110499	109838
1003	110622	109740
1004	110722	109621
1005	110822	109500
1006	110927	109384
1007	111023	109261
1008	111149	109166
1009	111257	109054
1010	111366	108942
1011	111473	108829
1012	111593	108729
1013	111702	108618
1014	111818	108513
1015	111911	108386
1016	112014	108269
1017	112135	108170
1018	112236	108051
1019	112337	107931
1020	112438	107813
1021	112540	107694
1022	112642	107577
1023	112753	107468
1024	112851	107346
1025	112955	107230
1026	113070	107125
1027	113185	107020
1028	113292	106906
1029	113404	106798
1030	113504	106679
1031	113610	106564
1032	113717	106452
1033	113825	106339
1034	113940	106233
1035	114045	106119
1036	114152	106006
1037	114265	105898
1038	114378	105791
1039	114500	105692
1040	114610	105582
1041	114712	105464
1042	114835	105366
1043	114948	105259
1044	115061	105151
1045	115158	105030
1046	115279	104929
1047	115395	104824
1048	115499	104709
1049	115634	104621
1050	115744	104511
1051	115852	104399
1052	115966	104293
1053	116083	104188
1054	116180	104066
1055	116292	103958
1056	116400	103846
1057	116507	103733
1058	116612	103618
1059	116731	103516
1060	116850	103414
1061	116972	103314
1062	117086	103207
1063	117193	103094
1064	117297	102979
1065	117406	102868
1066	117528	102768
1067	117634	102655
1068	117744	102544
1069	117853	102433
1070	117955	102315
1071	118059	102200
1072	118171	102092
1073	118280	101981
1074	118388	101869
1075	118488	101750
1076	118600	101642
1077	118713	101534
1078	118829	101429
1079	118935	101315
1080	119039	101199
1081	119139	101081
1082	119247	100969
1083	119367	100867
1084	119478	100758
1085	119578	100639
1086	119689	100530
1087	119790	100412
1088	119898	100301
1089	120006	100188
1090	120112	100075
1091	120221	99964
1092	120346	99866
1093	120454	99754
1094	120564	99644
1095	120674	99534
1096	120785	99424
1097	120898	99317
1098	121003	99203
1099	121106	99087
1100	121217	98977
1101	121328	98868
1102	121438	98757
1103	121541	98642
1104	121657	98537
1105	121767	98426
1106	121879	98318
1107	121989	98207
1108	122097	98096
1109	122203	97983
1110	122320	97878
1111	122425	97764
1112	122545	97662
1113	122667	97561
1114	122767	97443
1115	122890	97343
1116	123008	97239
1117	123119	97129
1118	123228	97019
1119	123342	96911
1120	123454	96803
1121	123574	96701
1122	123684	96590
1123	123798	96483
1124	123910	96374
1125	124015	96260
1126	124131	96155
1127	124248	96050
1128	124361	95942
1129	124482	95840
1130	124589	95728
1131	124689	95610
1132	124803	95503
1133	124905	95386
1134	125012	95273
1135	125109	95153
1136	125220	95044
1137	125315	94922
1138	125426	94813
1139	125533	94700
1140	125644	94591
1141	125756	94482
1142	125864	94371
1143	125964	94252
1144	126092	94156
1145	126200	94044
1146	126300	93927
1147	126417	93822
1148	126518	93704
1149	126643	93606
1150	126744	93489
1151	126855	93379
1152	126969	93272
1153	127078	93161
1154	127197	93057
1155	127310	92950
1156	127429	92845
1157	127545	92740
1158	127648	92625
1159	127770	92523
1160	127875	92409
1161	127992	92304
1162	128102	92194
1163	128212	92084
1164	128322	91973
1165	128437	91866
1166	128538	91750
1167	128655	91644
1168	128771	91539
1169	128875	91424
1170	128976	91307
1171	129079	91192
1172	129193	91085
1173	129298	90971
1174	129401	90856
1175	129504	90741
1176	129621	90635
1177	129732	90526
1178	129844	90417
1179	129946	90301
1180	130055	90190
1181	130161	90078
1182	130272	89968
1183	130381	89857
1184	130487	89744
1185	130582	89623
1186	130681	89506
1187	130786	89392
1188	130902	89287
1189	131006	89172
1190	131110	89058
1191	131216	88945
1192	131321	88831
1193	131426	88718
1194	131537	88609
1195	131657	88505
1196	131780	88404
1197	131896	88298
1198	131999	88183
1199	132099	88066
1200	132218	87962
1201	132333	87855
1202	132449	87749
1203	132558	87638
1204	132680	87535
